"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Тестирование раздела FAQ","8","0","Проверка вопросов и ответов в разделе FAQ","0"
"0","","0","Тестирование оформления заказа","1","0","Тест для лого «Самокат»","0"
"0","","0","Тестирование оформления заказа","2","0","Тест оформления заказа самоката","0"
"0","","0","Тестирование оформления заказа","2","0","Тест для кнопки «Заказать»","0"
"0","","0","Тестирование оформления заказа","1","0","Тест для лого «Яндекс»","0"
